Freeze,Bill Code,Contract Code,Job,Phase,Name,Shared Saving,Category,Phase Type,Type,Method,Current Cost Budget,Spent/Committed Against Base Contract,Spent/Committed Total,Actual Cost,Spent/Committed (In Scope),Complete %,Pending Internal PCI,Pending Internal PCI Cost To Complete,Pending External PCI Cost To Complete,Cost to Complete,Cost to Complete Override,Projected Cost Forecast,Projected Cost Forecast Override,Cost Variance,Pending CO,Pending CO (Incl. Risk),Projected Cost Budget,Spent/Committed (Pending CO),Cost To Complete (Pending CO),Proj Cost Forecast (Incl. Pending CO),Projected Cost Forecast (Incl Pending CO) Override,Cost Variance (Incl Pending CO),Current Bill Budget,Pending CO.1,Original Cost<br/> Budget Amount,Original Bill<br/> Budget Amount,Pending CO (Incl. Risk).1,Projected Bill Budget,Billed To Date,Revenue Forecast,Revenue Forecast Override,Revenue Variance,Adj Rev Forecast,Projected Profit,Current Period Cost,Previous Period Cost,Last Period  Forecast,Cost Forercast /<br>Variance,Current Period  Changes,Previous Period  Changes,Current Period  Commitments,Previous Period  Commitments,Shared Saving Amt,Profit Incl Shared Saving,Pending PCI including Risk (revenue),Pending PCI including Risk (Cost),WIP Projected cost forecast including Risk,WIP Projected cost forecast,WIP Revenue amount,WIP adjusted Revenue amount,Adj Rev Forecast <br/> Variance,Billed Budget Qty,Billed Completed Qty,Billed Remaining Qty,Billed Projected Qty,Input Budget Qty,Input Completed Qty,Input Remaining Qty,Input Projected Qty,Input WM Code,Output Budget Qty,Output Completed Qty,Output Remaining Qty,Output Projected Qty,Output WM Code,Committed Amount,Committed Remaining Amount,Spent Against Commitment Amount,Total Cost to Complete Amt,Notes
Y,IPCRP1-0000-0005-L,IPCRP1,IPCRP1,0000-0005,AWO# ACM Abatement at Abandoned Rec Center,N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,Y,0.0,Y,0.0,0,0,0.0,0,0,0.0,Y,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,0.0,0.0,1.0,1.0,LS,0.0,0.0,0.0,0.0,"Asbestos Removal final proposal is $988,868"
Y,IPCRP1-0000-0005-R,IPCRP1,IPCRP1,0000-0005,AWO# ACM Abatement at Abandoned Rec Center,N,R,,UNIT,A,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,67023139.52,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,LS,0.0,0.0,0.0,0.0,
Y,IPCRP1-0000-0005-S,IPCRP1,IPCRP1,0000-0005,AWO# ACM Abatement at Abandoned Rec Center,N,S,,UNIT,A,0.0,934050.0,934050.0,844730.0,934050.0,90.34545454545454,0,0,0,950.0,Y,935000.0,Y,-935000.0,0,0,0.0,0,0,935000.0,Y,-935000.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,-935000.0,0.0,0.0,935000.0,0.0,0.0,0,0.0,-950.0,0,-935000.0,0,0,935000.0,935000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,-1.78,0.0,LS,0.0,0.0,1.0,1.0,LS,934050.0,89320.0,844730.0,950.0,
Y,IPCRP1-0000-0006-L,IPCRP1,IPCRP1,0000-0006,Repair CE MH60651 & Adjoining Oil-O-Static Feeders,N,L,,UNIT,P,0.0,28501.7,28501.7,28501.7,28501.7,97.15943218642045,0,0,0,833.28,Y,29334.98,Y,-29334.98,0,0,0.0,0,0,29334.98,Y,-29334.98,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,-29334.98,0.0,2757.19,29334.98,0.0,0.0,0,0.0,0.0,0,-29334.98,0,0,29334.98,29334.98,0.0,0.0,0.0,0.0,0.0,252.0,252.0,0.0,255.0,-3.0,252.0,HR,0.0,0.96,0.04,1.0,LS,0.0,0.0,0.0,833.28,"Revenue will come directly from CE to IPC.  Lump Sum Agreement value is $259,833.00, which we will receive in three (3) equal payments of $86,611.00, with the last payment coming when work is 100% complete. Labor = $190,000 (1500 MH), Material+Sub+Consumable+Equipment = $0.00, Total forecast = $190K."
Y,IPCRP1-0000-0007-L,IPCRP1,IPCRP1,0000-0007,Removal of Exist 59” Steel Sewer Casing at MH-E03,N,L,,UNIT,P,0.0,18538.71,18538.71,18538.71,18538.71,30.89779850366916,0,0,40000,1461.39,Y,20000.1,Y,-20000.1,0,40000,40000.0,0,40000,60000.1,Y,-20000.1,0.0,0,0.0,0.0,40000,0.0,0.0,0.0,N,0.0,0.0,-60000.1,0.0,0.0,20000.1,0.0,0.0,0,0.0,0.0,0,-60000.1,0,0,20000.1,20000.1,0.0,0.0,0.0,0.0,0.0,160.0,160.0,0.0,152.0,8.0,160.0,HR,0.0,0.39,0.61,1.0,LS,0.0,0.0,0.0,41461.39,"Budget will be zero across the board. Revenue from this will come from Time & Material Records, which the project team and DDC are signing off daily on.   _x000D_
PM Forecast will be as follows Quantity/ UOM 1.00 LS, Labor =$40,000 (300MH) , Material+Sub+Consumable+Equipment=$0.00, Total forecast = $40K."
Y,IPCRP1-0000-0007-R,IPCRP1,IPCRP1,0000-0007,Removal of Exist 59” Steel Sewer Casing at MH-E03,N,R,,UNIT,A,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,40000,0,0.0,0,0,0.0,N,0.0,0.0,40000,0.0,0.0,0,40000.0,16600000.0,0.0,N,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.39,0.61,1.0,LS,0.0,0.0,0.0,0.0,
Y,IPCRP1-0000-0008-C,IPCRP1,IPCRP1,0000-0008,Load Test for Helical Piles,N,C,,UNIT,U,0.0,209982.0,209982.0,142002.0,209982.0,89.56178414652607,0,0,0,-51430.0,Y,158552.0,Y,-158552.0,0,0,0.0,0,0,158552.0,Y,-158552.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,-158552.0,0.0,0.0,142002.0,-16550.0,0.0,0,67980.0,0.0,0,-158552.0,0,0,158552.0,158552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,,2.0,2.0,0.0,2.0,EA,158552.0,67980.0,90572.0,-51430.0,
Y,IPCRP1-0000-0008-L,IPCRP1,IPCRP1,0000-0008,Load Test for Helical Piles,N,L,,UNIT,P,0.0,127405.99,127405.99,127405.99,127405.99,100.0,0,0,0,0.0,Y,127405.99,Y,-127405.99,0,0,0.0,0,0,127405.99,Y,-127405.99,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,-127405.99,0.0,127405.99,127405.99,0.0,0.0,0,0.0,0.0,0,-127405.99,0,0,127405.99,127405.99,0.0,0.0,0.0,0.0,0.0,991.0,991.0,0.0,991.0,0.0,991.0,HR,2.0,2.0,0.0,2.0,EA,0.0,0.0,0.0,0.0,
Y,IPCRP1-0000-0008-S,IPCRP1,IPCRP1,0000-0008,Load Test for Helical Piles,N,S,,UNIT,A,0.0,7440.0,7440.0,0.0,7440.0,0.0,0,0,0,0.0,N,7440.0,N,-7440.0,0,0,0.0,0,0,7440.0,N,-7440.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,-7440.0,0.0,0.0,0.0,-7440.0,0.0,0,0.0,7440.0,0,-7440.0,0,0,7440.0,7440.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,62.0,62.0,,2.0,2.0,0.0,2.0,EA,7440.0,7440.0,0.0,0.0,
Y,IPCRP1-0000-0009-C,IPCRP1,IPCRP1,0000-0009,Helical Piles for 10th St Sewer (VECP No. 02),N,C,,UNIT,U,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,Y,0.0,Y,0.0,0,0,0.0,0,0,0.0,Y,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38620.0,0.0,38620.0,38620.0,LF,0.0,0.0,0.0,0.0,
