Freeze,Bill Code,Contract Code,Job,Phase,Name,Shared Saving,Category,Phase Type,Type,Method,Current Cost Budget,Spent/Committed Against Base Contract,Spent/Committed Total,Actual Cost,Spent/Committed (In Scope),Complete %,Pending Internal PCI,Pending Internal PCI Cost To Complete,Pending External PCI Cost To Complete,Cost to Complete,Cost to Complete Override,Projected Cost Forecast,Projected Cost Forecast Override,Cost Variance,Pending CO,Pending CO (Incl. Risk),Projected Cost Budget,Spent/Committed (Pending CO),Cost To Complete (Pending CO),Proj Cost Forecast (Incl. Pending CO),Projected Cost Forecast (Incl Pending CO) Override,Cost Variance (Incl Pending CO),Current Bill Budget,Pending CO.1,Original Cost<br/> Budget Amount,Original Bill<br/> Budget Amount,Pending CO (Incl. Risk).1,Projected Bill Budget,Billed To Date,Revenue Forecast,Revenue Forecast Override,Revenue Variance,Adj Rev Forecast,Projected Profit,Current Period Cost,Previous Period Cost,Last Period  Forecast,Cost Forercast /<br>Variance,Current Period  Changes,Previous Period  Changes,Current Period  Commitments,Previous Period  Commitments,Shared Saving Amt,Profit Incl Shared Saving,Pending PCI including Risk (revenue),Pending PCI including Risk (Cost),WIP Projected cost forecast including Risk,WIP Projected cost forecast,WIP Revenue amount,WIP adjusted Revenue amount,Adj Rev Forecast <br/> Variance,Billed Budget Qty,Billed Completed Qty,Billed Remaining Qty,Billed Projected Qty,Input Budget Qty,Input Completed Qty,Input Remaining Qty,Input Projected Qty,Input WM Code,Output Budget Qty,Output Completed Qty,Output Remaining Qty,Output Projected Qty,Output WM Code,Committed Amount,Committed Remaining Amount,Spent Against Commitment Amount,Total Cost to Complete Amt,Notes
Y,IPCRP1-0558-1000-M,IPCRP1,IPCRP1,0558-1000,Util Cross Thru Flood Wall/Gates on Sht Piles (Al,N,M,,NR,P,82500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,Y,0.0,Y,82500.0,0,0,82500.0,0,0,0.0,Y,82500.0,0.0,0,82500.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,11.0,1.0,10.0,11.0,EA,0.0,0.0,0.0,0.0,
Y,IPCRP1-0559-0000-L,IPCRP1,IPCRP1,0559-0000,INCREM COST MGP CONTAM/HAND/DISPOSE,N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,0.0,0.0,0.0,0.0,CY,0.0,0.0,0.0,0.0,
Y,IPCRP1-0559-0000-R,IPCRP1,IPCRP1,0559-0000,INCREM COST MGP CONTAM/HAND/DISPOSE,N,R,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,163500.0,0,0.0,163500.0,0,163500.0,0.0,0,N,163500.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,163500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CY,0.0,0.0,0.0,0.0,
N,IPCRP1-0559-1000-C,IPCRP1,IPCRP1,0559-1000,INCREM COST MGP CONTAM/HAND/DISPOSE,N,C,,UNIT,U,0.0,4927.14,4927.14,4525.5,4927.14,91.84841510490872,0,0,0,0.0,N,4927.14,N,-4927.14,0,0,0.0,0,0,4927.14,N,-4927.14,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,-4927.14,0.0,0.0,4927.14,0.0,0,0,0.0,0.0,0,-4927.14,0,0,4927.14,4927.14,0,0,0.0,0.0,0.0,4093.5,4093.5,0.0,4093.5,0.0,4093.5,,1090.0,1474.9,0.0,1474.9,CY,4927.14,401.64,4525.5,0.0,
Y,IPCRP1-0559-1000-E,IPCRP1,IPCRP1,0559-1000,INCREM COST MGP CONTAM/HAND/DISPOSE,N,E,,NR,P,15309.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,Y,0.0,Y,15309.0,0,0,15309.0,0,0,0.0,Y,15309.0,0.0,0,15309.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1090.0,1474.9,0.0,1474.9,CY,0.0,0.0,0.0,0.0,
Y,IPCRP1-0559-1000-L,IPCRP1,IPCRP1,0559-1000,INCREM COST MGP CONTAM/HAND/DISPOSE,N,L,,NR,P,58608.62,31116.76,31116.76,31116.76,31116.76,53.09246319056821,0,0,0,27491.86,Y,58608.62,Y,0.0,0,0,58608.62,0,0,58608.62,Y,0.0,0.0,0,58608.62,0.0,0,0.0,0.0,0,N,0.0,0,-58608.62,6136.22,11308.82,58608.62,0.0,0,0,0.0,0.0,0,-58608.62,0,0,58608.62,58608.62,0,0,0.0,480.0,0.0,511.98,511.98,480.0,212.5,299.48,511.98,HR,1090.0,1474.9,0.0,1474.9,CY,0.0,0.0,0.0,27491.86,
Y,IPCRP1-0559-1010-L,IPCRP1,IPCRP1,0559-1010,Truck & Dispose $200/ton - $300/cy,N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,1090.0,0.0,1090.0,1090.0,CY,0.0,0.0,0.0,0.0,
Y,IPCRP1-0559-1010-S,IPCRP1,IPCRP1,0559-1010,Truck & Dispose $200/ton - $300/cy,N,S,,NR,A,327000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,327000.0,N,327000.0,N,0.0,0,0,327000.0,0,0,327000.0,N,0.0,0.0,0,327000.0,0.0,0,0.0,0.0,0,N,0.0,0,-327000.0,0.0,0.0,327000.0,0.0,0,0,0.0,0.0,0,-327000.0,0,0,327000.0,327000.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1090.0,0.0,1090.0,1090.0,CY,0.0,0.0,0.0,327000.0,
Y,IPCRP1-0560-0000-L,IPCRP1,IPCRP1,0560-0000,INST COMP CARB FIBER SYST ENCAP UG TRANS FEED/RET,N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,0.0,0.0,0.0,0.0,LF,0.0,0.0,0.0,0.0,
Y,IPCRP1-0560-0000-R,IPCRP1,IPCRP1,0560-0000,INST COMP CARB FIBER SYST ENCAP UG TRANS FEED/RET,N,R,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,48000000.0,0,0.0,48000000.0,0,48000000.0,48000000.0,0,N,48000000.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,48000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,LF,0.0,0.0,0.0,0.0,
